user_id,location,Country,State,City
182929371,"Miami, Florida',",USA,,
62691445,"Miami,FL',",USA,,
18361825,"MIAMI',",USA,,
948972248437870593,Michigan,USA,,
2833087014,"Michigan, USA',",USA,,
1283174348141088768,"Michigan',",USA,,
1091462350971064322,Michigan'},USA,,
1447327965566717959,"Middleburg Heights, OH',",USA,,
15038486,"Midland, MI',",USA,,
3092855416,"Midrand, South Africa',",South Africa,,
1104758124,"Milton, Fl.',",USA,,
1177291960874405889,"Milwaukee, WI',",USA,,
1398768914,"Milwaukee, WI',",USA,,
1047487504104996866,"Milwaukee, WI',",USA,,
1087473213192450049,"Minneapolis, MN',",USA,,
4282369753,Minnesota & Texas'},USA,,
1245069918,"Minnesota, USA',",USA,,
907139600,"Minnesota, USA',",USA,,
191044973,"Minnesota',",USA,,
1587518239072043008,"Mississippi',",USA,,
1942775803,"Missoula, MT',",USA,,
855464453059612674,"Missouri, USA',",USA,,
1593342974196342787,"Mombasa, Kenya',",Kenya,,
108033897,"Monroe County, Indiana',",USA,,
800457783220924416,"Montana & Pennsylvania',",USA,,
1431511671181303809,"Montana, USA',",USA,,
876051486467293189,"Montréal, Québec',",Canada,,
560459880,"Montréal, Québec',",Canada,,
