author_id,edit_history_tweet_ids,lang,created_at,text,id,geo
450409352,['1595131713230807040'],en,2022-11-22T19:06:51.000Z,National think kids are nothing but fresh meat for the grinder https://t.co/PPDwwvuN4w,1595131713230807040,
450409352,['1595131562726592512'],en,2022-11-22T19:06:15.000Z,"@KhoiPhanNz @ilovetheeconomy 4 days a week where the commute is 30 seconds from the kitchen to the office and the odd site visit is 

Yep https://t.co/9nvfxLoX9P",1595131562726592512,
450409352,['1595131179614642176'],en,2022-11-22T19:04:43.000Z,@Nicolas_Reid @GeorgeWeeks2014 @DrDreHistorian @actuallosergal LRT forming one big triple cross town system,1595131179614642176,
450409352,['1595131112472268800'],en,2022-11-22T19:04:27.000Z,"@Nicolas_Reid @GeorgeWeeks2014 @DrDreHistorian @actuallosergal Do what Len Brown proposed in 2013
Convert Onehunga to Penrose 3 as Light Rail connecting it to CC2M at Onehunga, then further extending it to Ellersile before it follows the Route 70 bus to Panmure interchange. 

Ideally if AT had a brain the Eastern Busway way and A2B would be",1595131112472268800,
450409352,['1595130000696492032'],en,2022-11-22T19:00:02.000Z,@Mackere South Auckland elected all Governments from there on in 😮,1595130000696492032,
450409352,['1595129873680384000'],en,2022-11-22T18:59:32.000Z,"@paulbrislen There is that
Best method is Congestion Charging on State Highway 1",1595129873680384000,
450409352,['1595129229477175297'],en,2022-11-22T18:56:59.000Z,Mayor needing to be replaced with a Commissioner owing to deliberate misinformation https://t.co/eL72od7IgI,1595129229477175297,
450409352,['1595129122442735616'],en,2022-11-22T18:56:33.000Z,"ABSOLUTE BRILLIANCE

PAUL FOR FINANCE MINISTER https://t.co/fc2roBgVqT",1595129122442735616,
450409352,['1595128789616324608'],en,2022-11-22T18:55:14.000Z,"Morgan wondering why the Public Service keeps getting lost in the endless Business Case

A gravy train
Biggest example
Auckland Light Rail
The big 4 continue on a project that is the worst of all worlds and will be scuppered in 12 months time https://t.co/YQnWdyQZFn",1595128789616324608,
450409352,['1595128488771522561'],en,2022-11-22T18:54:02.000Z,"@BasicBishopNZ We signing the Ardern Accords?

To be or not to be.....",1595128488771522561,
450409352,['1595128241211469824'],en,2022-11-22T18:53:03.000Z,RT @BBCNews: Study finds alcohol sales reduced since minimum unit pricing https://t.co/1sgsgw7bxg,1595128241211469824,
450409352,['1595128194801143809'],en,2022-11-22T18:52:52.000Z,@biggsintweets @David_Cormack And we can convert Rocket Lab rockets into nuclear ICBMs https://t.co/wyFgbUoJqp,1595128194801143809,
450409352,['1595127800448458752'],en,2022-11-22T18:51:18.000Z,"RT @GreaterAKL: Who pays when roads and parking are ""free"" to use? A guest post by @GeorgeWeeks2014 https://t.co/CB68TcNFsq",1595127800448458752,
450409352,['1595127765086314497'],en,2022-11-22T18:51:09.000Z,RT @NewsroomNZ: Greater change is being driven by progressive employers in a tight job market. https://t.co/dq2JGiTuqC,1595127765086314497,
450409352,['1595127430569525249'],en,2022-11-22T18:49:50.000Z,RT @BenRoss_AKL: This guy is a Political Editor and in the Press Gallery but yet can not understand the basic fundamentals of a Liberal Rep…,1595127430569525249,
450409352,['1595126946769170433'],en,2022-11-22T18:47:54.000Z,"RT @HandibodeJ: The danger to our children is in the churches NOT the Drag shows. 👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼

Leslie Stahl Jen Psak…",1595126946769170433,
450409352,['1595126807434436609'],en,2022-11-22T18:47:21.000Z,"From me
Pay attention @michaelwoodnz

“The perfect solution is a two-lane bus bridge that can be retrofitted for light rail later on,” Ross said.

That could have walking and cycling paths too, all for 10 per cent of a tunnel’s cost. https://t.co/37ra6CfCbx",1595126807434436609,
450409352,['1595126569382871040'],en,2022-11-22T18:46:24.000Z,"From yesterday
I might have said some words

Auckland Harbour crossing: Is this what might be planned for $15b second Waitematā solution?, via @nzherald https://t.co/MeyoXLfsuG",1595126569382871040,
450409352,['1595126316877377537'],en,2022-11-22T18:45:24.000Z,"RT @BenRoss_AKL: Another puff piece by Parker
They must be scrambling to shore up their failing support

Infrastructure: Accelerating light…",1595126316877377537,
