lang,geo,edit_history_tweet_ids,text,author_id,id,created_at
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.981233, 40.577422]}, 'place_id': '011add077f4d2da3'}",['1597057424024014848'],Incident on #FLine from Coney Island - Stillwell Av to Jamaica - 179 St https://t.co/jxlm31LzmK,52272942,1597057424024014848,2022-11-28T02:38:56.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.947101, 40.850512]}, 'place_id': '01a9a39529b27f36'}",['1597057420626464769'],Cleared: Incident on #GeorgeWashingtonBridge EB at New York Side,52272942,1597057420626464769,2022-11-28T02:38:55.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.03321, 40.610165]}, 'place_id': '011add077f4d2da3'}",['1597055179551133696'],Incident on #VerrazanonarrowsBridge EB at Brooklyn Side https://t.co/4siEuV442N,52272942,1597055179551133696,2022-11-28T02:30:01.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.947101, 40.850512]}, 'place_id': '01a9a39529b27f36'}",['1597053618049454081'],Incident on #GeorgeWashingtonBridge EB at New York Side https://t.co/Msrh8lQG3A,52272942,1597053618049454081,2022-11-28T02:23:49.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.840278, 40.762754]}, 'place_id': '00c39537733fa112'}",['1597048655458062344'],Incident on #I678 NB at I-678 https://t.co/0bJ0LyDu4r,52272942,1597048655458062344,2022-11-28T02:04:05.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.957992, 40.800938]}, 'place_id': '01a9a39529b27f36'}",['1597048400347910144'],Updated: Incident on #M10Bus Both directions from Fred Douglass Bl/Cathedral Py to Frederick Douglass Bl/125 St https://t.co/apKA4ribFC,52272942,1597048400347910144,2022-11-28T02:03:05.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.99219, 40.75002]}, 'place_id': '01a9a39529b27f36'}",['1597048399366266882'],Updated: Special Event on #MadisonSquareGarden https://t.co/jWEb7kWvVq,52272942,1597048399366266882,2022-11-28T02:03:04.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.99219, 40.75002]}, 'place_id': '01a9a39529b27f36'}",['1597048393251053569'],Cleared: Special Event on #MadisonSquareGarden,52272942,1597048393251053569,2022-11-28T02:03:03.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.957992, 40.800938]}, 'place_id': '01a9a39529b27f36'}",['1597048392386940928'],Cleared: Incident on #M10Bus Both directions from Fred Douglass Bl/Cathedral Py to Frederick Douglass Bl/125 St,52272942,1597048392386940928,2022-11-28T02:03:03.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.934833, 40.828064]}, 'place_id': '01a9a39529b27f36'}",['1597047575403692032'],Incident on #HarlemRiverDrive SB at Adam Clayton Powell Jr Boulevard; Macombs Dam Bridge https://t.co/y5ebHwhTT7,52272942,1597047575403692032,2022-11-28T01:59:48.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.009781, 40.712582]}, 'place_id': '01a9a39529b27f36'}",['1597045834343931905'],Incident on #ELine from World Trade Center to Jamaica - 179 St https://t.co/oQNdiNvzP9,52272942,1597045834343931905,2022-11-28T01:52:53.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.981233, 40.577422]}, 'place_id': '011add077f4d2da3'}",['1597037563952472064'],Cleared: Incident on #DLine Both directions at Coney Island - Stillwell Av,52272942,1597037563952472064,2022-11-28T01:20:01.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.029316, 40.613658]}, 'place_id': '011add077f4d2da3'}",['1597034059372298241'],Incident on #VerrazanonarrowsBridge WB at Belt Pkwy Ramp Westbound https://t.co/uxNFoH8mfF,52272942,1597034059372298241,2022-11-28T01:06:05.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.845806, 40.756717]}, 'place_id': '00c39537733fa112'}",['1597033251075289088'],Special Event on #CitiField https://t.co/VUt1jMoSer,52272942,1597033251075289088,2022-11-28T01:02:53.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.980393, 40.759902]}, 'place_id': '01a9a39529b27f36'}",['1597033250169524224'],Special Event on #RadioCityMusicHall https://t.co/aFRD4dUpRA,52272942,1597033250169524224,2022-11-28T01:02:52.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.99219, 40.75002]}, 'place_id': '01a9a39529b27f36'}",['1597033249275990016'],Special Event on #MadisonSquareGarden https://t.co/tk1aqEN4Bl,52272942,1597033249275990016,2022-11-28T01:02:52.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.01206, 40.726334]}, 'place_id': '01a9a39529b27f36'}",['1597032255033151488'],Cleared: Incident on #HollandTunnel WB at New York Side,52272942,1597032255033151488,2022-11-28T00:58:55.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.81171, 40.69408]}, 'place_id': '00c39537733fa112'}",['1597030730013372421'],Cleared: Incident on #I678 NB at Exit 5 - 101st Avenue,52272942,1597030730013372421,2022-11-28T00:52:52.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.030336, 40.613433]}, 'place_id': '011add077f4d2da3'}",['1597028731775635457'],Cleared: Incident on #VerrazanonarrowsBridge WB at Belt Pkwy Ramp Westbound,52272942,1597028731775635457,2022-11-28T00:44:55.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.030336, 40.613433]}, 'place_id': '011add077f4d2da3'}",['1597023981269385216'],Incident on #VerrazanonarrowsBridge WB at Belt Pkwy Ramp Westbound https://t.co/oPEb7nHmPf,52272942,1597023981269385216,2022-11-28T00:26:03.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.981233, 40.577422]}, 'place_id': '011add077f4d2da3'}",['1597021941113708544'],Incident on #DLine Both directions at Coney Island - Stillwell Av https://t.co/Vaa3Pq0Rmu,52272942,1597021941113708544,2022-11-28T00:17:56.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.976593, 40.683358]}, 'place_id': '011add077f4d2da3'}",['1597021937594769408'],Cleared: Special Event on #BarclaysCenter,52272942,1597021937594769408,2022-11-28T00:17:55.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.01206, 40.726334]}, 'place_id': '01a9a39529b27f36'}",['1597020938960535552'],Updated: Incident on #HollandTunnel WB at New York Side https://t.co/mX2Xkal2HV,52272942,1597020938960535552,2022-11-28T00:13:57.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.011056, 40.706476]}, 'place_id': '01a9a39529b27f36'}",['1597018665005862912'],Cleared: Incident on #JLine Both directions from Broad St to Bowery,52272942,1597018665005862912,2022-11-28T00:04:55.000Z
